"","farm","name","area","type","date_planting","dist_inter_rang","dist_inter_plant","lat","lon"
"179",11,"Verbonnette jeune",0.72,1,NA,1,1.15,49.153973,4.079386
"180",11,"Verbonnette vieille",1,1,NA,1,1.15,49.153973,4.079386
"181",12,"Grands Corigniers",0.6188,1,NA,1,1.15,49.153973,4.079386
"182",12,"Pissottes",0.0928,3,NA,1,1.15,49.156744,4.062434
"183",12,"Moyens Corigniers",0.3481,3,NA,1,1.15,49.153973,4.079386
"184",12,"Petits Corigniers",0.2082,1,NA,1,1.15,49.153973,4.079386
"185",12,"Bas Belais",0.1817,1,NA,1,1.15,49.153973,4.079386
"186",12,"Coutures/Moulins",0.6014,1,NA,1,1.15,49.153973,4.079386
"187",12,"Grands Moulins",0.8097,2,NA,1,1.15,49.153973,4.079386
"188",12,"Trésorières  X  0175 (2014)",0.5,1,NA,1,1.15,49.21426,4.093792
"189",12,"Beaunes 50 ares  AH 0072",0.4935,1,NA,1,1.15,49.153973,4.079386
"190",12,"Corrigniers  AK  0036",0.52,1,NA,1,1.15,49.156744,4.062434
"191",12,"Beaunes Carré AH 0122 + 0123",0.7932,1,NA,1,1.15,49.153973,4.079386
"192",12,"Beaunes du Bout 1999  AH  0085",0.7499,1,NA,1,1.15,49.153973,4.079386
"193",12,"Coutures d'en Haut(vieille) A  1002",0.4116,1,NA,1,1.15,49.156744,4.062434
"194",13,"Beaunes Plateau  AH  OO54",0.3213,1,NA,1,1.15,49.153973,4.079386
"195",13,"Houssets  A  0500",0.6697,1,NA,1,1.15,49.156744,4.062434
"196",13,"Coutures d'en Haut(pinots) A 0545 (02)",0.386,3,NA,1,1.15,49.156744,4.062434
"197",13,"Dessus la Ville  B  1367",0.7,1,NA,1,1.15,49.156744,4.062434
"198",13,"Coutures d'en Bas  A  0545",0.2854,1,NA,1,1.15,49.156744,4.062434
"199",13,"Verbonnettes  AC  0324",0.45,1,NA,1,1.15,49.156744,4.062434
"200",13,"Beaunes du Bout 1993  AH  0086",0.3,1,NA,1,1.15,49.153973,4.079386
"201",13,"Coutures d'en Haut(jeune) A   1005",0.6861,1,NA,1,1.15,49.156744,4.062434
"202",13,"Beaunes 15 routes  AH 0034",0.1222,1,NA,1,1.15,49.153973,4.079386
"203",14,"Trésorières  X0176+0178+0179   (2011)",0.5,1,NA,1,1.15,49.21426,4.093792
"204",14,"Clos Yons   (pinots)  C  0798",0.3109,3,NA,1,1.15,49.156744,4.062434
"205",14,"Pissottes  B  0646",0.15,1,NA,1,1.15,49.156744,4.062434
"206",14,"Driffours  B  0646",0.1745,1,NA,1,1.15,49.156744,4.062434
"207",14,"Pruches d'en Bas (chard.) B  0857",0.2873,2,NA,1,1.15,49.156744,4.062434
"208",14,"Trésorières  X0176+0178+0179   (2007)",1.2666,1,NA,1,1.15,49.21426,4.093792
"209",14,"Garolès",0.4123,1,NA,1,1.15,49.156744,4.062434
